id_member,Afriat,HM,Swaps,Varian,InvVarian,NMCI,Varian0.5,InvVarian0.5,NMCI0.5,Afriat_FOSD,HM_FOSD,Swaps_FOSD,Varian_FOSD,InvVarian_FOSD,NMCI_FOSD,Varian0.5_FOSD,InvVarian0.5_FOSD,NMCI0.5_FOSD
13156001,0.327190687941407,0.32,0.84,0.0301047870675612,0.0286321022551404,0.0722320081025197,0.0941089882819543,0.0847624647434114,0.216525110139754,0.53447554276746,0.44,1.76,0.0588358283844417,0.051144643916453,0.23250548392825,0.130395080018107,0.120397848447227,0.562144715897352
13156002,0.383023007833326,0.2,0.72,0.0354167263956358,0.0270471974427033,0.0811972377824591,0.0834498816559393,0.068201884464601,0.213397381889463,0.508128199936363,0.44,2.56,0.102142626546006,0.100923178557598,0.40912690654853,0.190315216593873,0.188426060065088,0.928977111482843
13158501,0,0,0,0,0,0,0,0,0,0.00685876275910609,0.2,0.2,0.000440636836381499,0.000440636836381499,0.000440636836381499,0.00777794554912874,0.00777794554912874,0.00777794554912874
13175501,0.0713166522032592,0.08,0.2,0.00588238369445824,0.00585610488927386,0.00608528224518287,0.0243005868629677,0.0278085452094068,0.0311946146364502,0.140455758043262,0.32,0.92,0.0190222405091791,0.0195082677296224,0.0310213406257707,0.0722117275275709,0.0752062745189598,0.150743427341295
13175502,0.0267675188238649,0.08,0.12,0.00141715019746306,0.00146156136761745,0.00146156136761745,0.00908272884553566,0.0118465845760526,0.0118465845760526,0.666855310318808,0.64,4.48,0.18162264744729,0.189959808802456,0.97998242960705,0.297244937232615,0.307279196415228,1.92501374347574
13199502,0.0443787784314256,0.16,0.24,0.00425292203681102,0.00374039170332472,0.00425292203681102,0.0268337247475805,0.0219475322421641,0.0278221688112921,0.110701324178519,0.4,0.68,0.0186002351479948,0.0170031869211236,0.0235156405117465,0.0853773185422077,0.0792604459903673,0.117867603289568
13216501,0.344950561334844,0.2,0.6,0.0401185654347428,0.0299295645751529,0.0698548935677453,0.0791563734627471,0.0677913885706088,0.173917270543845,0.423659748686786,0.52,2.48,0.0807056486191148,0.0796903372158206,0.300090612330738,0.179010324552188,0.175666024714327,0.761692887544503
13225501,0.0545167557066538,0.12,0.12,0.00444783974895811,0.00444783974895811,0.00444783974895811,0.0221318179059009,0.0221318179059009,0.0221318179059009,0.253043938591847,0.32,1,0.0312948157665702,0.0331905612496232,0.0523614735643839,0.0924372016705208,0.0983034394765903,0.202255038016655
13249001,0.0898220678647698,0.24,0.6,0.0157875816649792,0.0157416967855418,0.0265868558370511,0.0679225768410886,0.0606542036255437,0.120894437893872,0.249915498816983,0.52,1.44,0.0420122466584675,0.0380101522008728,0.0870535787712789,0.126818137013352,0.117159164031922,0.318419679970869
13277501,0.108828933969938,0.2,0.6,0.0154180172873306,0.01599810072094,0.0292893896540187,0.0541541822402241,0.0557772241423582,0.124582295196406,0.605494850085631,0.4,1.56,0.0481121374649306,0.0470158008141038,0.15670609873485,0.10659066608061,0.107898030967881,0.418066428698214
